the_geom,cartodb_id,name
0101000020E6100000BC7CD6A3F0715A4040CEBE20B0162440,1,"Công Ty Cổ phần Vận Tải Dịch Vụ Du Lịch Phương Trang
"
0101000020E6100000FD0E68916D725A407DED7B6ABC102440,2,"Đại Lý Bán Vé Tàu Hỏa Cần Thơ
"
0101000020E61000005CF7416065715A40B7E02DDD24022440,3,"Bến Xe Cần Thơ Mới
"
0101000020E6100000D02D871659715A405E5BCBA145022440,4,"Nhà xe Thành Bưởi
"
0101000020E61000000CD0D0225B715A4091D434B4C8022440,5,"Xe khách An Nhiên Cần Thơ - Đồng Tháp
"
0101000020E610000037CD871659715A4034FE8516D9022440,6,"Xe Khách Hùng Cường (Cần Thơ)
"
0101000020E610000036AC9BC4A0715A407AA3A6C64B1B2440,7,"Tô Châu cần thơ 2
"
0101000020E6100000FFA6B19D6F715A40EB9B8816D9022440,8,"Bến Xe Trung Tâm Cần Thơ
"
0101000020E61000009EB464BAC9705A4075638B26310C2440,9,"Bến xe Khách Trung Tâm Thành Phố Cần Thơ
"
0101000020E610000005FA5B33B36F5A40299F31B29D132440,10,"Công Ty Xe Khách Chất Lượng Cao Mai Linh Express
"
0101000020E6100000F092200BB9705A407114337B2F092440,11,"Dịch Vụ Taxi Green
"
0101000020E6100000AA11DBF9FE6E5A400DEEC2F528202440,12,"Bến xe Buýt
"
0101000020E610000015249418846E5A4029EC60BA49202440,13,"Bến xe Buýt
"
0101000020E61000001B993E926D6E5A40AC5EE514AA1D2440,14,"Bến xe Buýt
"
0101000020E6100000B0D11A2F5D6E5A4057A5002B871A2440,15,"Bến xe Buýt
"
0101000020E610000085B3E926B1705A40D681DBF97E062440,16,"Bến Xe Buýt KDC 515
"
0101000020E61000001944BE9F9A725A40E65CB4F3FD182440,17,"Bến Xe Điện
"
0101000020E6100000246573157E6F5A40144F8F7CE8FF2340,18,"Chành xe sài gòn
"
0101000020E610000008A591EDFC715A4028D1D122DB052440,19,"Kho Hàng Trọng Tấn - Cần Thơ
"
0101000020E61000008DAFCAA1C5715A402B9F51E3A5072440,20,"Chành xe tiến phát Cần Thơ
"
0101000020E6100000114CA92B9D705A40A728875DE2092440,21,"Chành vận chuyển hàng từ Cần Thơ lên Sài Gòn
"
0101000020E6100000A2EF2EDDA4705A4038FB5439B40C2440,22,"Chành Xe Lê Châu
"
0101000020E6100000DE15BDCF9E705A40B819365DC40C2440,23,"Tô Châu Cần Thơ - Vận Chuyển Hàng Nhanh
"
0101000020E61000008DD80EBE1F715A408752EC0F580D2440,24,"Cửa Hàng Chành Xe Nhi Lẻm
"
0101000020E6100000343DCD365F725A40945F2063E70F2440,25,"Chành Xe Kiệt
"
0101000020E6100000FDE8D2A5F0705A40663B1E96F1162440,26,"Chành Xe Châu Đốc An Giang
"
0101000020E610000081408941E0715A40FB80FEA9F1162440,27,"Công ty Tô Châu
"
0101000020E61000006BD8B81E05725A4098333F0AD7172440,28,"Chành xe tải Hà Hùng (Cần Thơ,  Phụng Hiệp)
"
0101000020E610000001FAF97EEA6F5A400A5A613BDF032440,29,"Bến tàu đi Chợ Nổi
"
0101000020E6100000B4F4021E73725A40B7B2CA7EB30F2440,30,"Bến phà Xóm Chài
"
0101000020E610000074C00FB775725A408A41F67126102440,31,"Bến tàu cao tốc Côn Đảo Express - Ninh Kiều Cần Thơ
"
0101000020E6100000AB59ECBF77725A402BE966A168102440,32,"Bến tàu cao tốc Côn Đảo Express - Bến Ninh Kiều 1 - Cần Thơ
"
0101000020E610000051581C4970725A40B7D4F97E6A102440,33,"Vé tàu Côn Đảo Express Cần Thơ-Côn Đảo
"
0101000020E6100000C117B29D6F725A4089BBFD7E6A102440,34,"Bến Tàu đi Chợ Nổi
"
0101000020E6100000C517CF9475725A40042B924F8A102440,35,"Bến Tàu Du Lịch Số 1 Bến Ninh Kiều 
"
0101000020E6100000AF3545B673725A402FAB7F6ABC102440,36,"Tàu Tham Quan Chợ Nổi Cái Răng ( Bến Ninh Kiều )
"
0101000020E61000000E0BB3CE77725A40BD78C1B41E112440,37,"Bến Tàu Chợ Nổi Cần Thơ
"
0101000020E61000002ACF22DB79725A405E2EE97C3F112440,38,"Bến Tàu Khách Du Lịch Cần Thơ
"
0101000020E6100000EAEF174BB9725A40875385B1D5172440,39,"Bến tàu du lịch Hawon
"
0101000020E610000094F226F9ED705A404EBB3425F7222440,40,"Bến Tàu Du Lịch Cồn Sơn
"
0101000020E6100000AFFF8095C3705A40227C87EB510C2440,41,"Hùng Cường Cần Thơ (Phòng hàng)
"
0101000020E61000000DA5CAA1C5715A403E7006D7A31C2440,42,"Công ty Cổ Phần Vận Tải Sài Gòn
"
0101000020E6100000351FCBA1C5715A40449EAA39A6072440,43,"Chành xe Tiến Phát Cần Thơ
"
0101000020E6100000286636D3CD675A4055D9E2DD4F392440,44,"Công Ty Cổ Phần Vận Tải Sài Gòn - Đại lý Ô Môn
"
0101000020E6100000F51923DB79735A40085E038195FF2340,45,"Phương Trang Cần Thơ
"
0101000020E61000008E533333B3705A40C4A6D24D620C2440,46,"Công Ty Cổ phần Bến Xe Tàu Phà Cần Thơ
"
0101000020E6100000CCD99354E2715A405866FC3512072440,47,"Chành Xe Thành Hà Tiên, Tuyến Cần Thơ - Phú Quốc 
"
0101000020E6100000235FBA9C19715A40DB06630B58152440,48,"Chành xe Thuận Phát
"
0101000020E61000004E61438BEC705A403C231083C0162440,49,"Chành Xe Kiệt
"
0101000020E610000024F73F35DE715A4066A377BE9F162440,50,"Doanh nghiệp tư nhân Dịch vụ Vận Chuyển Hàng Hóa Thiên Minh
"
0101000020E61000007B7DF1D2CD705A405EC6C476BE232440,51,"Bến đò Cô Bắc - bến tàu du lịch cồn Sơn
"
